Series,Year,Deaths
70+ years old,2012,185
70+ years old,2013,187
70+ years old,2014,186
70+ years old,2015,189
70+ years old,2016,186
70+ years old,2017,184
70+ years old,2018,185
70+ years old,2019,187
70+ years old,1990,135
70+ years old,1991,143
70+ years old,1992,150
70+ years old,1993,157
70+ years old,1994,166
70+ years old,1995,174
70+ years old,1996,184
70+ years old,1997,194
70+ years old,1998,204
70+ years old,1999,213
70+ years old,2000,226
70+ years old,2001,235
70+ years old,2002,245
70+ years old,2003,248
70+ years old,2004,251
70+ years old,2005,250
70+ years old,2006,246
70+ years old,2007,244
70+ years old,2008,242
70+ years old,2009,235
70+ years old,2010,233
70+ years old,2011,226
70+ years old,2012,217
70+ years old,2013,214
70+ years old,2014,214
70+ years old,2015,222
70+ years old,2016,233
70+ years old,2017,243
70+ years old,2018,260
70+ years old,2019,272
70+ years old,1990,7
70+ years old,1991,7
70+ years old,1992,7
70+ years old,1993,7
70+ years old,1994,7
70+ years old,1995,7
70+ years old,1996,7
70+ years old,1997,6
70+ years old,1998,7
70+ years old,1999,6
70+ years old,2000,6
70+ years old,2001,6
70+ years old,2002,5
70+ years old,2003,5
70+ years old,2004,5
70+ years old,2005,5
70+ years old,2006,5
70+ years old,2007,5
70+ years old,2008,5
70+ years old,2009,5
70+ years old,2010,5
70+ years old,2011,5
70+ years old,2012,5
70+ years old,2013,5
70+ years old,2014,5
70+ years old,2015,5
70+ years old,2016,6
70+ years old,2017,6
70+ years old,2018,7
70+ years old,2019,6
70+ years old,1990,50
70+ years old,1991,51
70+ years old,1992,52
70+ years old,1993,53
70+ years old,1994,54
70+ years old,1995,56
70+ years old,1996,58
70+ years old,1997,60
70+ years old,1998,64
70+ years old,1999,67
70+ years old,2000,71
70+ years old,2001,75
70+ years old,2002,79
70+ years old,2003,82
70+ years old,2004,86
70+ years old,2005,88
70+ years old,2006,89
70+ years old,2007,90
70+ years old,2008,90
70+ years old,2009,91
70+ years old,2010,92
70+ years old,2011,93
70+ years old,2012,93
70+ years old,2013,95
70+ years old,2014,95
70+ years old,2015,95
70+ years old,2016,95
70+ years old,2017,96
70+ years old,2018,95
70+ years old,2019,97
70+ years old,1990,407
70+ years old,1991,394
70+ years old,1992,391
70+ years old,1993,389
70+ years old,1994,382
70+ years old,1995,382
70+ years old,1996,385
70+ years old,1997,383
70+ years old,1998,378
70+ years old,1999,371
70+ years old,2000,369
70+ years old,2001,363
70+ years old,2002,365
70+ years old,2003,363
70+ years old,2004,361
70+ years old,2005,351
70+ years old,2006,345
70+ years old,2007,334
70+ years old,2008,328
70+ years old,2009,323
70+ years old,2010,315
70+ years old,2011,308
70+ years old,2012,299
70+ years old,2013,290
70+ years old,2014,284
70+ years old,2015,277
70+ years old,2016,270
70+ years old,2017,264
70+ years old,2018,257
70+ years old,2019,256
70+ years old,1990,111
70+ years old,1991,116
70+ years old,1992,122
70+ years old,1993,136
70+ years old,1994,152
70+ years old,1995,174
70+ years old,1996,207
70+ years old,1997,234
70+ years old,1998,303
70+ years old,1999,350
70+ years old,2000,370
70+ years old,2001,389
70+ years old,2002,407
70+ years old,2003,438
70+ years old,2004,452
70+ years old,2005,462
70+ years old,2006,459
70+ years old,2007,467
70+ years old,2008,451
70+ years old,2009,460
70+ years old,2010,470
70+ years old,2011,457
70+ years old,2012,442
70+ years old,2013,429
70+ years old,2014,408
70+ years old,2015,405
70+ years old,2016,403
70+ years old,2017,428
70+ years old,2018,447
70+ years old,2019,467
70+ years old,1990,7614
70+ years old,1991,8012
70+ years old,1992,7637
70+ years old,1993,7846
70+ years old,1994,7849
70+ years old,1995,7489
70+ years old,1996,7307
70+ years old,1997,6996
70+ years old,1998,6476
70+ years old,1999,6282
70+ years old,2000,6102
70+ years old,2001,5999
70+ years old,2002,5611
70+ years old,2003,5254
70+ years old,2004,5043
70+ years old,2005,5058
70+ years old,2006,5120
70+ years old,2007,5161
70+ years old,2008,5402
70+ years old,2009,5758
70+ years old,2010,6235
70+ years old,2011,6721
70+ years old,2012,7122
70+ years old,2013,7705
70+ years old,2014,8420
70+ years old,2015,9233
70+ years old,2016,10267
70+ years old,2017,10902
70+ years old,2018,11066
70+ years old,2019,11339
70+ years old,1990,413
70+ years old,1991,426
70+ years old,1992,420
70+ years old,1993,393
70+ years old,1994,386
70+ years old,1995,394
70+ years old,1996,414
70+ years old,1997,401
70+ years old,1998,410
70+ years old,1999,428
70+ years old,2000,444
70+ years old,2001,454
70+ years old,2002,493
70+ years old,2003,483
70+ years old,2004,478
70+ years old,2005,460
70+ years old,2006,467
70+ years old,2007,455
70+ years old,2008,468
70+ years old,2009,481
70+ years old,2010,486
70+ years old,2011,473
70+ years old,2012,470
70+ years old,2013,467
70+ years old,2014,466
70+ years old,2015,482
70+ years old,2016,509
70+ years old,2017,531
70+ years old,2018,561
70+ years old,2019,588
70+ years old,1990,26
70+ years old,1991,26
70+ years old,1992,26
70+ years old,1993,26
70+ years old,1994,26
70+ years old,1995,26
70+ years old,1996,26
70+ years old,1997,27
70+ years old,1998,27
70+ years old,1999,27
70+ years old,2000,27
70+ years old,2001,27
70+ years old,2002,26
70+ years old,2003,25
70+ years old,2004,25
70+ years old,2005,24
70+ years old,2006,24
70+ years old,2007,24
70+ years old,2008,24
70+ years old,2009,24
70+ years old,2010,24
70+ years old,2011,24
70+ years old,2012,24
70+ years old,2013,24
70+ years old,2014,24
70+ years old,2015,25
70+ years old,2016,25
70+ years old,2017,25
70+ years old,2018,25
70+ years old,2019,26
70+ years old,1990,47
70+ years old,1991,48
70+ years old,1992,49
70+ years old,1993,51
70+ years old,1994,54
70+ years old,1995,56
70+ years old,1996,58
70+ years old,1997,61
70+ years old,1998,61
70+ years old,1999,63
70+ years old,2000,64
70+ years old,2001,64
70+ years old,2002,65
70+ years old,2003,66
70+ years old,2004,67
70+ years old,2005,68
70+ years old,2006,69
70+ years old,2007,70
70+ years old,2008,72
70+ years old,2009,73
70+ years old,2010,74
70+ years old,2011,74
70+ years old,2012,76
70+ years old,2013,76
70+ years old,2014,77
70+ years old,2015,78
70+ years old,2016,78
